line_id,deal_id,sku,product,quantity,list_unit_price_usd,discount_pct,net_unit_price_usd,term_months,billing_type,line_total_usd
LI-00083,DD-1037,IRU-SUP,Premium Support,250,40.0,10,36.0,36,subscription,27000.0
LI-00084,DD-1038,IRU-EPM,Endpoint Management,1000,120.0,0,120.0,12,subscription,120000.0
LI-00085,DD-1038,IRU-VLN,Vulnerability Management,25,96.0,10,86.4,12,subscription,2160.0
LI-00086,DD-1039,IRU-VLN,Vulnerability Management,500,96.0,15,81.6,12,subscription,40800.0
LI-00087,DD-1039,IRU-EPM,Endpoint Management,200,120.0,20,96.0,12,subscription,19200.0
LI-00090,DD-1041,IRU-CMP,Compliance Automation,75,190.0,38,117.8,24,subscription,17670.0
LI-00091,DD-1041,IRU-IAM,Identity & Access,75,144.0,32,97.92,24,subscription,14688.0
LI-00092,DD-1041,IRU-VLN,Vulnerability Management,400,96.0,30,67.2,24,subscription,53760.0
LI-00093,DD-1041,IRU-EPM,Endpoint Management,25,120.0,35,78.0,24,subscription,3900.0
LI-00094,DD-1042,IRU-CMP,Compliance Automation,250,190.0,5,180.5,36,subscription,135375.0
LI-00095,DD-1042,IRU-EDR,Endpoint Security,50,156.0,10,140.4,36,subscription,21060.0
LI-00096,DD-1043,IRU-CMP,Compliance Automation,300,190.0,15,161.5,36,subscription,145350.0
LI-00097,DD-1043,IRU-SUP,Premium Support,1000,40.0,20,32.0,36,subscription,96000.0
LI-00098,DD-1044,IRU-IAM,Identity & Access,50,144.0,10,129.6,12,subscription,6480.0
LI-00099,DD-1044,IRU-SUP,Premium Support,40,40.0,15,34.0,12,subscription,1360.0
LI-00100,DD-1044,IRU-EPM,Endpoint Management,200,120.0,5,114.0,12,subscription,22800.0
LI-00101,DD-1045,IRU-CMP,Compliance Automation,500,190.0,15,161.5,36,subscription,242250.0
LI-00102,DD-1046,IRU-IAM,Identity & Access,25,144.0,5,136.8,12,subscription,3420.0
LI-00103,DD-1046,IRU-EDR,Endpoint Security,40,156.0,10,140.4,12,subscription,5616.0
LI-00104,DD-1047,IRU-VLN,Vulnerability Management,400,96.0,10,86.4,36,subscription,103680.0
LI-00105,DD-1048,IRU-EPM,Endpoint Management,120,120.0,15,102.0,24,subscription,24480.0
LI-00106,DD-1048,IRU-VLN,Vulnerability Management,500,96.0,5,91.2,24,subscription,91200.0
LI-00107,DD-1048,IRU-EDR,Endpoint Security,400,156.0,10,140.4,24,subscription,112320.0
LI-00108,DD-1048,IRU-CMP,Compliance Automation,40,190.0,15,161.5,24,subscription,12920.0
LI-00109,DD-1049,IRU-EDR,Endpoint Security,200,156.0,0,156.0,12,subscription,31200.0
LI-00110,DD-1049,IRU-EPM,Endpoint Management,400,120.0,10,108.0,12,subscription,43200.0
LI-00111,DD-1050,IRU-VLN,Vulnerability Management,100,96.0,15,81.6,24,subscription,16320.0
LI-00112,DD-1050,IRU-IAM,Identity & Access,300,144.0,0,144.0,24,subscription,86400.0
LI-00113,DD-1051,IRU-IAM,Identity & Access,75,144.0,25,108.0,24,subscription,16200.0
LI-00114,DD-1051,IRU-CMP,Compliance Automation,500,190.0,0,190.0,24,subscription,190000.0
LI-00115,DD-1051,IRU-EPM,Endpoint Management,150,120.0,20,96.0,24,subscription,28800.0
LI-00116,DD-1051,IRU-EDR,Endpoint Security,500,156.0,10,140.4,24,subscription,140400.0
LI-00117,DD-1052,IRU-EPM,Endpoint Management,100,120.0,0,120.0,12,subscription,12000.0
LI-00118,DD-1052,IRU-EDR,Endpoint Security,75,156.0,20,124.8,12,subscription,9360.0
LI-00119,DD-1052,IRU-CMP,Compliance Automation,1000,190.0,5,180.5,12,subscription,180500.0
LI-00120,DD-1052,IRU-SUP,Premium Support,400,40.0,10,36.0,12,subscription,14400.0
LI-00121,DD-1053,IRU-EPM,Endpoint Management,500,120.0,20,96.0,12,subscription,48000.0
LI-00124,DD-1054,IRU-CMP,Compliance Automation,25,190.0,20,152.0,36,subscription,11400.0
LI-00125,DD-1054,IRU-EDR,Endpoint Security,50,156.0,10,140.4,36,subscription,21060.0
LI-00126,DD-1054,IRU-SUP,Premium Support,500,40.0,20,32.0,36,subscription,48000.0
LI-00127,DD-1055,IRU-EPM,Endpoint Management,300,120.0,30,84.0,18,subscription,37800.0
LI-00128,DD-1055,IRU-VLN,Vulnerability Management,50,96.0,35,62.4,18,subscription,4680.0
LI-00129,DD-1056,IRU-SUP,Premium Support,300,40.0,10,36.0,12,subscription,10800.0
LI-00130,DD-1056,IRU-CMP,Compliance Automation,40,190.0,20,152.0,12,subscription,6080.0
LI-00131,DD-1056,IRU-VLN,Vulnerability Management,200,96.0,15,81.6,12,subscription,16320.0
LI-00132,DD-1056,IRU-EPM,Endpoint Management,75,120.0,20,96.0,12,subscription,7200.0
LI-00133,DD-1057,IRU-SUP,Premium Support,120,40.0,0,40.0,12,subscription,4800.0
LI-00134,DD-1057,IRU-VLN,Vulnerability Management,400,96.0,0,96.0,12,subscription,38400.0
LI-00135,DD-1058,IRU-SUP,Premium Support,200,40.0,20,32.0,24,subscription,12800.0
LI-00136,DD-1059,IRU-IAM,Identity & Access,25,144.0,25,108.0,12,subscription,2700.0
LI-00137,DD-1059,IRU-CMP,Compliance Automation,250,190.0,20,152.0,12,subscription,38000.0
LI-00138,DD-1059,IRU-VLN,Vulnerability Management,75,96.0,20,76.8,12,subscription,5760.0
LI-00139,DD-1059,IRU-EDR,Endpoint Security,500,156.0,5,148.2,12,subscription,74100.0
LI-00142,DD-1060,IRU-VLN,Vulnerability Management,50,96.0,0,96.0,36,subscription,14400.0
LI-00143,DD-1060,IRU-EPM,Endpoint Management,75,120.0,20,96.0,36,subscription,21600.0
LI-00144,DD-1061,IRU-VLN,Vulnerability Management,400,96.0,15,81.6,36,subscription,97920.0
LI-00145,DD-1061,IRU-EPM,Endpoint Management,200,120.0,20,96.0,36,subscription,57600.0
LI-00146,DD-1062,IRU-SUP,Premium Support,400,40.0,20,32.0,12,subscription,12800.0
LI-00147,DD-1062,IRU-CMP,Compliance Automation,200,190.0,15,161.5,12,subscription,32300.0
LI-00148,DD-1063,IRU-EDR,Endpoint Security,400,156.0,15,132.6,12,subscription,53040.0
LI-00149,DD-1064,IRU-SUP,Premium Support,40,40.0,20,32.0,24,subscription,2560.0
LI-00150,DD-1064,IRU-EDR,Endpoint Security,250,156.0,15,132.6,24,subscription,66300.0
LI-00151,DD-1099,IRU-CMP,Compliance Automation,40,190.0,0,190.0,12,subscription,7600.0
LI-00152,DD-1003,IRU-SUP,Premium Support,80,40.0,0,40.0,12,subscription,3200.0
LI-00153,DD-1026,IRU-SUP,Premium Support,60,40.0,0,40.0,24,subscription,4800.0
LI-00154,DD-1055,IRU-SUP,Premium Support,60,40.0,0,40.0,18,subscription,3600.0
