deal_id,deal_name,customer_name,customer_id,deal_type,deal_owner,region,close_date,term_start_date,term_months,currency,contract_value,blended_discount_pct,billing_frequency,payment_terms,po_required,po_number,billing_contact_email,discount_approval,special_terms,stage,invoice_status
DD-1016,northwind labs - Amendment - FY26,northwind labs,CUST-04207,Amendment,j.whitfield,NA-East,2026-07-28,2026-08-08,12,USD,62450.0,10.0,Annual upfront,Net 30,FALSE,,ap@northwindlabs.com,,Mid-term upgrade to existing subscription SUB-28213. Co-terminate with current period ending 2026-12-22. Prorate from term start. Do not create a new subscription.,Closed Won,Not Invoiced
DD-1017,Rampart Security - Amendment - FY26,Rampart Security,CUST-04212,Amendment,s.petrov,NA-Central,2026-06-19,2026-06-26,24,USD,85404.0,35.0,Monthly,Net 45,FALSE,,ap@rampartsecurit.com,,,Closed Won,Not Invoiced
DD-1018,Alderaan Legal Group - New Business - FY26,Alderaan Legal Group,CUST-04223,New Business,t.nakamura,NA-West,2026-06-27,2026-06-27,12,USD,93400.0,10.0,Annual upfront,Net 30,FALSE,,ap@alderaanlegalg.com,,,Closed Won,Not Invoiced
DD-1019,Kestrel Financial LLC - New Business - FY26,Kestrel Financial LLC,CUST-04231,New Business,s.petrov,NA-Central,2026-05-05,2026-05-15,12,USD,33920.0,20.0,Monthly,Net 30,TRUE,,ap@kestrelfinanci.com,,,Closed Won,Not Invoiced
DD-1020,Kilo Robotics - New Business - FY26,Kilo Robotics,CUST-04233,New Business,c.delacruz,NA-East,2026-05-12,2026-05-15,36,USD,304192.5,16.7,Annual upfront,Due on receipt,FALSE,,ap@kilorobotics.com,,"Ramp schedule: Year 1 billed at $188,599.35, Year 2 at $97,341.60, Year 3 at $18,251.55. Uplift capped at 5% at each anniversary. Customer may add up to 150 seats at Year 1 net pricing.",Closed Won,Not Invoiced
DD-1021,Vireo Wellness - Renewal - FY26,Vireo Wellness,CUST-04243,Renewal,m.okafor,NA-West,2026-08-16,2026-08-29,12,USD,61920.0,10.0,Monthly,Due on receipt,FALSE,,,,,Closed Won,Not Invoiced
DD-1022,Quill Publishing - New Business - FY26,Quill Publishing,CUST-04248,New Business,s.petrov,APAC,2026-05-01,2026-05-15,12,USD,98102.0,11.7,Annual upfront,Net 60,FALSE,,ap@quillpublishin.com,,,Closed Won,Not Invoiced
DD-1023,Quarry Software - New Business - FY26,Quarry Software,CUST-04259,New Business,s.petrov,NA-West,2026-08-14,2026-08-28,12,USD,8132.0,0.0,Annual upfront,Net 60,FALSE,,ap@quarrysoftware.com,,,Closed Won,Not Invoiced
DD-1024,Xanthe Cosmetics - Renewal - FY26,Xanthe Cosmetics,CUST-04263,Renewal,c.delacruz,NA-Central,2026-06-03,2026-06-15,12,USD,20760.0,12.5,Annual upfront,Due on receipt,TRUE,PO-218268,ap@xanthecosmetic.com,,,Closed Won,Not Invoiced
DD-1025,Northwind Labs Inc - Expansion - FY26,Northwind Labs Inc,CUST-04272,Expansion,m.okafor,APAC,2026-05-15,2026-05-16,18,USD,108000.0,20.0,Monthly,Due on receipt,TRUE,PO-239330,ap@northwindlabsi.com,,,Closed Won,Not Invoiced
DD-1026,Solstice Foods - Expansion - FY26,Solstice Foods,CUST-04275,Expansion,t.nakamura,NA-West,2026-07-24,2026-08-01,24,USD,158880.0,23.3,Quarterly,Due on receipt,FALSE,,ap@solsticefoods.com,,,Closed Won,Not Invoiced
DD-1027,Verdant Energy - New Business - FY26,Verdant Energy,CUST-04285,New Business,a.ramesh,NA-East,2026-05-16,2026-05-24,12,GBP,13440.0,10.0,Annual upfront,Net 30,FALSE,,ap@verdantenergy.com,Approved - CRO,,Closed Won,Not Invoiced
DD-1028,Silverleaf Pharma - Renewal - FY26,Silverleaf Pharma,CUST-04290,Renewal,j.whitfield,APAC,2026-07-23,2026-08-02,12,USD,20520.0,10.0,Annual upfront,Net 30,FALSE,,ap@silverleafphar.com,,,Closed Won,Not Invoiced
DD-1029,Westgate Logistics - New Business - FY26,Westgate Logistics,CUST-04301,New Business,c.delacruz,NA-West,2026-05-06,2026-03-01,12,USD,68400.0,10.0,Annual upfront,Due on receipt,FALSE,,ap@westgatelogist.com,Approved - CRO,,Closed Won,Not Invoiced
DD-1030,Pinecrest Property - Amendment - FY26,Pinecrest Property,CUST-04307,Amendment,j.whitfield,EMEA,2026-05-22,2026-05-25,12,USD,12960.0,25.0,Monthly,Net 45,FALSE,,ap@pinecrestprope.com,,Mid-term upgrade to existing subscription SUB-23179. Co-terminate with current period ending 2026-10-10. Prorate from term start. Do not create a new subscription.,Closed Won,Not Invoiced
DD-1031,Copperline Media - New Business - FY26,Copperline Media,CUST-04315,New Business,j.whitfield,APAC,2026-06-18,2026-06-19,12,USD,9600.0,12.5,Quarterly,Net 60,TRUE,,ap@copperlinemedi.com,,,Closed Won,Not Invoiced
DD-1032,Basalt Construction - Expansion - FY26,Basalt Construction,CUST-04320,Expansion,j.whitfield,NA-East,2026-07-13,2026-07-26,12,USD,32400.0,10.0,Monthly,Due on receipt,FALSE,,ap@basaltconstruc.com,,,Closed Won,Not Invoiced
DD-1033,Ironwood Manufacturing - Expansion - FY26,Ironwood Manufacturing,CUST-04327,Expansion,s.petrov,EMEA,2026-06-29,2026-07-10,12,USD,167200.0,10.0,Annual upfront,Net 60,FALSE,,,,,Closed Won,Not Invoiced
DD-1034,Dovetail HR - Expansion - FY26,Dovetail HR,CUST-04335,Expansion,j.whitfield,NA-East,2026-07-27,2026-08-10,24,USD,131256.0,37.7,Monthly,Net 30,TRUE,PO-443895,ap@dovetailhr.com,,,Closed Won,Not Invoiced
DD-1035,Trellis Education - Expansion - FY26,Trellis Education,CUST-04338,Expansion,j.whitfield,NA-West,2026-05-26,2026-05-30,12,USD,54705.0,10.0,Annual upfront,Due on receipt,FALSE,,ap@trelliseducati.com,,,Closed Won,Not Invoiced
DD-1036,Orchard Supply Digital - New Business - FY26,Orchard Supply Digital,CUST-04347,New Business,t.nakamura,NA-East,2026-05-19,2026-05-31,12,USD,20400.0,15.0,Annual upfront,Net 30,TRUE,,ap@orchardsupplyd.com,Approved - CRO,,Closed Won,Not Invoiced
DD-1037,Ardent Biosciences - Expansion - FY26,Ardent Biosciences,CUST-04354,Expansion,m.okafor,APAC,2026-07-24,2026-08-03,36,USD,27000.0,10.0,Annual upfront,Net 45,FALSE,,ap@ardentbioscien.com,,"Ramp schedule: Year 1 billed at $16,740.00, Year 2 at $8,640.00, Year 3 at $1,620.00. Uplift capped at 5% at each anniversary. Customer may add up to 150 seats at Year 1 net pricing.",Closed Won,Not Invoiced
DD-1038,Greenfield Agritech - New Business - FY26,Greenfield Agritech,CUST-04363,New Business,a.ramesh,NA-Central,2026-07-22,2026-08-03,12,USD,140484.0,5.0,Monthly,Net 30,FALSE,,ap@greenfieldagri.com,,,Closed Won,Not Invoiced
DD-1039,Halcyon Insurance - Expansion - FY26,Halcyon Insurance,CUST-04367,Expansion,a.ramesh,NA-East,2026-08-02,2026-08-13,12,USD,60000.0,17.5,Monthly,Net 45,FALSE,,ap@halcyoninsuran.com,,,Closed Won,Not Invoiced
DD-1040,Lovable Inc - Renewal - FY26,Lovable Inc,CUST-04376,Renewal,c.delacruz,NA-Central,2026-08-13,2026-08-18,12,USD,0.0,0.0,Annual upfront,Net 30,TRUE,PO-556236,ap@lovableinc.com,,,Closed Won,Not Invoiced
DD-1041,Cypress Title Co - Renewal - FY26,Cypress Title Co,CUST-04380,Renewal,s.petrov,NA-Central,2026-05-02,2026-05-08,24,USD,90018.0,33.8,Annual upfront,Net 30,TRUE,PO-602096,ap@cypresstitleco.com,,,Closed Won,Not Invoiced
DD-1042,Fathom Analytics Co - New Business - FY26,Fathom Analytics Co,CUST-04390,New Business,t.nakamura,EMEA,2026-07-31,2026-08-01,36,USD,156435.0,7.5,Annual upfront,Net 30,FALSE,,ap@fathomanalytic.com,,,Closed Won,Not Invoiced
DD-1043,Harborview Hotels - Amendment - FY26,Harborview Hotels,CUST-04399,Amendment,a.ramesh,NA-West,2026-07-17,2026-05-08,36,USD,241350.0,17.5,Annual upfront,Net 60,FALSE,,ap@harborviewhote.com,,,Closed Won,Not Invoiced
DD-1044,Umbra Optics - Renewal - FY26,Umbra Optics,CUST-04404,Renewal,b.olsen,EMEA,2026-05-23,2026-06-04,12,USD,30640.0,10.0,Quarterly,Due on receipt,TRUE,,ap@umbraoptics.com,,,Closed Won,Not Invoiced
DD-1045,Brightpath Health - Renewal - FY26,Brightpath Health,CUST-04412,Renewal,j.whitfield,APAC,2026-05-31,2026-06-01,36,USD,242250.0,15.0,Annual upfront,Net 30,TRUE,PO-224715,,Approved - CRO,,Closed Won,Not Invoiced
DD-1046,Vercel Systems - Renewal - FY26,Vercel Systems,CUST-04416,Renewal,b.olsen,NA-East,2026-07-16,2026-07-24,12,USD,9036.0,7.5,Annual upfront,Net 30,FALSE,,ap@vercelsystems.com,,,Closed Won,Not Invoiced
DD-1047,Replit Holdings - Renewal - FY26,Replit Holdings,CUST-04423,Renewal,b.olsen,NA-West,2026-05-15,2026-05-19,36,USD,95385.6,10.0,Annual upfront,Net 45,FALSE,,ap@replitholdings.com,,,Closed Won,Not Invoiced
DD-1048,Acacia Dental Group - New Business - FY26,Acacia Dental Group,CUST-04430,New Business,j.whitfield,APAC,2026-06-29,2026-07-13,24,USD,240920.0,11.2,Annual upfront,Net 60,FALSE,,ap@acaciadentalgr.com,,,Closed Won,Not Invoiced
DD-1049,Foxglove Design - Amendment - FY26,Foxglove Design,CUST-04437,Amendment,a.ramesh,NA-West,2026-06-09,2026-06-14,12,USD,74400.0,5.0,Annual upfront,Due on receipt,FALSE,,ap@foxglovedesign.com,,Mid-term upgrade to existing subscription SUB-21684. Co-terminate with current period ending 2027-01-14. Prorate from term start. Do not create a new subscription.,Closed Won,Not Invoiced
DD-1050,Yardarm Shipping - New Business - FY26,Yardarm Shipping,CUST-04447,New Business,t.nakamura,NA-Central,2026-06-15,2026-06-26,24,USD,102720.0,7.5,Annual upfront,Net 30,TRUE,,ap@yardarmshippin.com,,,Closed Won,Not Invoiced
DD-1051,Pallas Metals - New Business - FY26,Pallas Metals,CUST-04452,New Business,b.olsen,NA-East,2026-08-09,2026-08-14,24,EUR,375400.0,13.8,Annual upfront,Due on receipt,TRUE,PO-564292,ap@pallasmetals.com,,,Closed Won,Not Invoiced
DD-1052,Mercor Technologies - Renewal - FY26,Mercor Technologies,CUST-04462,Renewal,j.whitfield,APAC,2026-05-13,2026-05-24,12,USD,216260.0,8.8,Annual upfront,Due on receipt,FALSE,,,,,Closed Won,Not Invoiced
DD-1053,Kestrel Financial - Amendment - FY26,Kestrel Financial,CUST-04158,Amendment,a.ramesh,APAC,2026-08-01,2026-08-15,12,USD,48000.0,20.0,Annual upfront,Net 45,FALSE,,ap@kestrelfinanci.com,,,Closed Won,Not Invoiced
DD-1054,Elmwood Foods - Renewal - FY26,Elmwood Foods,CUST-04467,Renewal,s.petrov,NA-Central,2026-08-24,2026-08-25,36,USD,80460.0,16.7,Annual upfront,Net 60,TRUE,PO-262504,ap@elmwoodfoods.com,,"Ramp schedule: Year 1 billed at $49,885.20, Year 2 at $25,747.20, Year 3 at $4,827.60. Uplift capped at 5% at each anniversary. Customer may add up to 150 seats at Year 1 net pricing.",Closed Won,Not Invoiced
DD-1055,Kittyhawk Aviation - Expansion - FY26,Kittyhawk Aviation,CUST-04476,Expansion,j.whitfield,APAC,2026-05-04,2026-05-08,18,USD,46080.0,21.7,Annual upfront,Net 30,FALSE,,ap@kittyhawkaviat.com,,,Closed Won,Not Invoiced
DD-1056,Lantern Health - Amendment - FY26,Lantern Health,CUST-04483,Amendment,a.ramesh,NA-West,2026-08-07,2026-08-21,12,USD,40400.0,16.2,Monthly,Net 30,FALSE,,ap@lanternhealth.com,Approved - CRO,,Closed Won,Not Invoiced
DD-1057,Tidewater Utilities - Expansion - FY26,Tidewater Utilities,CUST-04488,Expansion,j.whitfield,EMEA,2026-07-09,2026-07-12,12,USD,43200.0,0.0,Quarterly,Net 30,TRUE,,ap@tidewaterutili.com,,,Closed Won,Not Invoiced
DD-1058,Ivory Coast Coffee - New Business - FY26,Ivory Coast Coffee,CUST-04493,New Business,j.whitfield,NA-Central,2026-05-23,2026-04-08,24,USD,12800.0,20.0,Annual upfront,Net 45,TRUE,PO-584893,ap@ivorycoastcoff.com,,,Closed Won,Not Invoiced
DD-1059,Cursor Labs - Expansion - FY26,Cursor Labs,CUST-04502,Expansion,c.delacruz,EMEA,2026-06-08,2026-06-15,12,USD,106092.8,17.5,Annual upfront,Net 30,FALSE,,ap@cursorlabs.com,,,Closed Won,Not Invoiced
DD-1060,"Northwind Labs, Inc. - Expansion - FY26","Northwind Labs, Inc.",CUST-04506,Expansion,s.petrov,NA-Central,2026-07-29,2026-08-07,36,USD,36000.0,10.0,Annual upfront,Net 60,FALSE,,ap@northwindlabsi.com,,"Ramp schedule: Year 1 billed at $22,320.00, Year 2 at $11,520.00, Year 3 at $2,160.00. Uplift capped at 5% at each anniversary. Customer may add up to 150 seats at Year 1 net pricing.",Closed Won,Not Invoiced
DD-1061,Sundial Robotics - New Business - FY26,Sundial Robotics,CUST-04517,New Business,s.petrov,EMEA,2026-06-12,2026-06-20,36,USD,155520.0,17.5,Annual upfront,Net 30,TRUE,,ap@sundialrobotic.com,,,Closed Won,Not Invoiced
DD-1062,Zephyr Mobility - Expansion - FY26,Zephyr Mobility,CUST-04521,Expansion,c.delacruz,EMEA,2026-06-29,2026-07-07,12,USD,45100.0,17.5,Annual upfront,Net 30,FALSE,,ap@zephyrmobility.com,Approved - CRO,,Closed Won,Not Invoiced
DD-1063,Bellweather Media - New Business - FY26,Bellweather Media,CUST-04529,New Business,t.nakamura,NA-Central,2026-08-03,2026-08-10,12,USD,53040.0,15.0,Monthly,Net 30,FALSE,,ap@bellweathermed.com,,,Closed Won,Not Invoiced
DD-1064,Vantage Freight - New Business - FY26,Vantage Freight,CUST-04537,New Business,t.nakamura,NA-East,2026-07-23,2026-07-29,24,USD,68860.0,17.5,Annual upfront,Net 60,FALSE,,ap@vantagefreight.com,,,Closed Won,Not Invoiced
DD-1099,Quarry Software - New Business - FY26 (copy),Quarry Software,CUST-04259,New Business,s.petrov,NA-West,2026-08-14,2026-08-28,12,USD,8132.0,0.0,Annual upfront,Net 60,FALSE,,ap@quarrysoftware.com,,,Closed Won,Not Invoiced
